feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
byte_ratio,0.021568068117372156,0.3298499296360944,0.34207233071536847,0.04457510367856786,0.5091749431443199,0.3227643562634271,0.7967068319379083,0.923391168237387,0.03005536737664131,0.7294278863299831,0.4881980903551429,0.5605670291475949,Engineered - Asymmetry
Packet Length Variance,0.0565471469624773,0.3325432938955235,0.08738376062075368,1.2797639506102496,0.13090512396687826,0.8462233793288453,0.8032122803663858,0.2358840091972067,0.8628981767117381,0.18753053183502794,0.7175714299076259,0.5585591604858465,Packet Size
Bwd Packet Length Std,0.05534332346091822,0.1854432453519239,0.26628097313784554,1.4830996114594535,0.04257052706748109,0.8282082601526155,0.4479124815082222,0.7187997297265662,1.0,0.06098518789441822,0.7542005443681534,0.5462359374260328,Backward Packets
Packet Length Std,0.05459047488003008,0.33294534978445545,0.08733350664981664,1.3334048033104355,0.011282817027946285,0.8169419433804389,0.8041833906949111,0.23574835346370998,0.8990662481519297,0.016163406089309662,0.7180446634185839,0.5074802862198016,Packet Size
Average Packet Size,0.06682295519573785,0.3275299695600449,0.01585747980438921,1.1226208067982382,0.04628101123592936,1.0,0.7911032896104898,0.04280573284385162,0.7569422836632774,0.06630070991822087,0.695572539887212,0.5067909908965146,Packet Size
Bwd Packet Length Mean,0.056611209709006495,0.2764760481481847,0.07735113923458811,1.380997546764259,0.029283463260674648,0.8471820730343472,0.667789611687549,0.2088019182169712,0.9311563000176905,0.04195056139005906,0.6956514834800083,0.4995412068530235,Backward Packets
Fwd Packet Length Min,0.0014800077633670633,0.11682280944523149,0.34924648961923055,0.333873159571194,0.6037780542753248,0.022148193820997943,0.2821693201932143,0.9427571162446522,0.22511849979020898,0.864953305091547,0.3220178363910856,0.484898477001224,Forward Packets
Flow Bytes/s,0.012775570207412231,0.19782143351194925,0.12437530096328127,0.06041977150154655,0.6980469936598724,0.191185351949641,0.4778102810468945,0.3357390941739828,0.04073884925510168,1.0,0.2541407069951879,0.4778984948966315,Flow Rates
Bwd Packet Length Max,0.04823280363974019,0.2554363323725757,0.07930971463414051,1.4152301632257855,0.02986728849078202,0.7217999188820163,0.6169710915230832,0.21408890305579623,0.9542381053104851,0.04278693091161,0.6521600554841562,0.46934811811239235,Backward Packets
avg_packet_size,0.04226168635734029,0.34942193466828386,0.022798716532216597,1.1510121076408204,0.049141099392322925,0.6324426424055525,0.8439803000301147,0.06154292996738625,0.776085502785723,0.07039798156664968,0.6070578294191025,0.4460598750633666,Engineered - Traffic Volume
Packet Length Mean,0.03794081261878921,0.29919578238520184,0.016403168714810065,1.125920928082741,0.04831409078461302,0.567781124130966,0.7226659838196121,0.04427876727324829,0.759167435135912,0.0692132352455261,0.5496484454328205,0.40551788237663217,Packet Size
Max Packet Length,0.034555713172892015,0.2559698398103354,0.04592917652569334,1.282240217149175,0.031274740585128136,0.517123390781976,0.6182597048661927,0.12398136931902319,0.8645678329639493,0.04480320217576489,0.5506401755559329,0.3988890835418825,Packet Size
Init_Win_bytes_forward,0.019279622819887075,0.2683843329917792,0.24109042194933167,0.03784462752135028,0.27898831868583907,0.2885179615809147,0.6482451941570796,0.6508002734657782,0.025517252670647684,0.3996698234070152,0.3851560548743619,0.38951018543415783,Window Size
Min Packet Length,0.006162263593190597,0.11543170784793344,0.35193481255965026,0.7671390646375453,0.21773511075409074,0.09221776521466449,0.2788093069056268,0.9500139839818416,0.5172539043973164,0.3119204190143443,0.41668392918650343,0.38525487613485565,Packet Size
Bwd Packet Length Min,0.006699368035428562,0.10733998979169135,0.27796312542373935,0.714499368406678,0.29429375070316377,0.10025548878831786,0.2592648823710036,0.7503345698121106,0.48176087626614,0.4215959002418685,0.36540000025820335,0.38225877025330285,Backward Packets
has_tcp_info,0.003202976204268413,0.10533938865021719,0.3704522443812544,1.0073170275204237,0.1257656079507481,0.04793227409482644,0.2544327073296031,1.0,0.6791971488207506,0.18016782407636603,0.44778714626603633,0.3675013496091352,Engineered - TCP
Idle Std,0.0002584685046799855,0.022913760519096105,0.07734516899263742,0.26777124002663255,0.6863961558768098,0.003867959803975735,0.05534501575032421,0.20878580212632458,0.18054838525858055,0.9833093790405469,0.10189089861868383,0.3663164427452428,Active/Idle
Bwd Packets/s,0.009754016719381102,0.18464632587296292,0.09720923318504096,0.0695544940371369,0.48571611677426707,0.14596805380440941,0.44598763285328064,0.2624069219702099,0.04689805964461913,0.6958215151499315,0.21949322365983975,0.3623917111068673,Flow Rates
Init_Win_bytes_backward,0.018819453033005536,0.24434346819308672,0.15533215934080222,0.2482624909815996,0.2467965706219244,0.2816315587641938,0.5901778140853454,0.4193041389187554,0.16739434699014946,0.35355294537974546,0.357743335681883,0.35648621859124174,Window Size
window_size_avg,0.02201184821631415,0.4140166952425499,0.19946099645106347,0.0900479018320348,0.053722485704345006,0.3294054887551296,1.0,0.5384256661319787,0.060716017411280014,0.07696113039994211,0.47168578420575463,0.3532683880640109,Engineered - TCP
Fwd IAT Std,0.010303984687449594,0.13042637759751363,0.24938068380613804,1.1749986747777688,0.041873762973328774,0.15419827897864072,0.3150268554293539,0.6731790334342949,0.7922587705498109,0.059987025735593974,0.4577166968752424,0.3383977955333478,Packet Timing
Subflow Fwd Bytes,0.03154821323835809,0.2741286681923052,0.19135611214296935,0.0188492361672892,0.035351157289145126,0.47211640290297013,0.6621198404371303,0.5165473149247097,0.012709352778226738,0.05064294755256863,0.4136516821596722,0.3047490617775411,Subflow
high_jitter,0.00010487491030192099,0.047109026551694244,0.3395553128158993,0.9117845252722686,0.11118273777977454,0.0015694443622662501,0.1137853306231905,0.9165967218879709,0.6147830652959455,0.15927686644253208,0.3659322766660581,0.30393565359900027,Engineered - Network Quality
Idle Min,0.00515141956632783,0.09804804429637182,0.2438758809178983,1.0265185746511953,0.06652421839198477,0.07709056792292841,0.23682147464833703,0.6583193505150184,0.6921440520377746,0.0953004869245223,0.38703242215141015,0.2995128415833438,Active/Idle
Idle Max,0.007862819609345382,0.1030833019983477,0.24716942654219493,1.0696717683026362,0.019314717489002663,0.11766644540507981,0.24898344241397508,0.6672099583443695,0.7212406773203986,0.02766965213578998,0.41129795522399126,0.29620946429753087,Active/Idle
diverse_ports,0.00019556860099652148,0.024179588577341926,0.19598497168740206,0.5047868865624947,0.33437739048120063,0.0029266679455235375,0.05840244815049407,0.5290424735170515,0.3403593950548986,0.47901845222204054,0.20637695588841554,0.288169404788503,Engineered - Scanning
Fwd IAT Max,0.006518474375425984,0.17893850015578705,0.1395934641685593,1.0538282252789755,0.018357831106073773,0.0975484301215363,0.43220117017492904,0.3768190536993896,0.7105579538531125,0.02629884703008797,0.39031812078334915,0.28111233865737073,Packet Timing
Idle Mean,0.002829302508842256,0.09802407557863657,0.2462624406995687,1.0571700684794996,0.02929962825414698,0.04234027813577926,0.23676358152950713,0.6647616377946017,0.7128112368927025,0.041973718847392386,0.3830481156052066,0.2807257965778623,Active/Idle
packet_ratio,0.02016033043204645,0.14112075725632556,0.002146539348610551,0.04154911536003354,0.3528304607038843,0.30169767818547977,0.3408576486840719,0.005794375337624948,0.028015053769144257,0.5054537357921822,0.18388635413647295,0.2803565686331857,Engineered - Asymmetry
