feature,importance,mutual_info,correlation,cohens_d,pca_reconstruction_error,importance_norm,mutual_info_norm,correlation_norm,cohens_d_norm,pca_reconstruction_error_norm,usefulness_score,combined_score,feature_group
sttl,0.17575405077417883,0.3794689916202423,0.7333091727532306,2.0664652530705117,0.06456469332401253,1.0,0.8173999034238678,1.0,1.0,0.29310339509258687,0.954349975855967,0.755976001626953,Network Quality
ct_state_ttl,0.16377708705492733,0.35202754420226423,0.6482602806166835,1.5408392882175768,0.053258412303664654,0.9318538396896447,0.7582893121381532,0.884020416903789,0.7456400662571414,0.24177643631181386,0.8323425798864749,0.6551727368140765,State Features
byte_ratio,0.04738463091673963,0.46405988140141896,0.5363649830241208,0.17453351545866913,0.12741546911195403,0.26960761762255336,0.9996139621864611,0.7314308929347262,0.08445993234066429,0.5784261437843596,0.49818693750549264,0.5222586993891527,Engineered - Asymmetry
dur,0.021858847089286454,0.33628972268109303,0.23115842654677513,0.08617094279298732,0.22027958189845442,0.12437179679785725,0.7243890618526666,0.31522642172725607,0.0416996814560264,1.0,0.2918790092119816,0.5043153064483872,Basic Flow
rate,0.040393475289311934,0.350218492022601,0.2864254662572585,0.7786794456210553,0.10601892052701176,0.2298295550593728,0.7543925007791231,0.39059304983444537,0.3768171008266575,0.4812925447438196,0.42986987688614603,0.4452966772434481,Basic Flow
packet_ratio,0.0593253972520657,0.33589479553595214,0.5785732952207626,0.24045907255667745,0.07242915151841045,0.33754782316961296,0.7235383641212939,0.7889895786363784,0.1163625046196083,0.32880556107010955,0.4690374798633852,0.4269679042254025,Engineered - Asymmetry
dttl,0.03566766981429176,0.3535909150118306,0.2523473494934901,0.19984450672485443,0.1096233392640696,0.2029408122155892,0.7616569104847241,0.3441213595434033,0.09670837989069025,0.4976554718294513,0.344297838167211,0.39030512826588304,Network Quality
sload,0.03676324623973979,0.3384912057502558,0.28778404641680283,0.3982622498682396,0.09401781868086964,0.20917438931166255,0.7291311938525424,0.39244572018144713,0.19272632301775758,0.42681131801044747,0.3717058400473632,0.3882374834362884,Network Quality
dload,0.041506085846276373,0.27881790705523724,0.6301269996902554,0.9215278091929836,0.013510568566948157,0.2361600524337633,0.600591182237823,0.8592924009451911,0.44594401373248704,0.061333730754838306,0.5043402949117447,0.3714383256646728,Network Quality
is_scanner,0.000834821900340997,0.02367017349849654,0.19064700356818373,0.41660030321727615,0.18925667172212834,0.004749944007911572,0.05098703177059585,0.25998175210654195,0.2016004394936037,0.8591657478693274,0.11656820143973176,0.3393474653686105,Engineered - Scanning
